ID,Dataset,Video with mistake ID,Step ID,Correct Procedure,Procedure with mistake,Error Validity,Text Plausibility,Confusability / Difficulty to Notice,Procedure Logic,Procedure Logic (Annotator Confidence),Sequence Consistency Score,State-Change Coherence,Taxonomy Fit (Error Type),Video Plausibility,Text–Video Grounding Consistency (episode-level),m,n_yes,n_no,agree_pairs,total_pairs
Assembly101 c09c_9013_113951_C10115 12 detach rear roof transport cabin,Assembly101,c09c_9013_113951_C10115,12.0,,detach rear roof transport cabin,1.0,4.4,2.0,0.0,2.8,5.0,0.0,C (100%),4.0,,,,,0.0,
Assembly101 c09c_9013_113951_C10115 15 attach transport cabin base,Assembly101,c09c_9013_113951_C10115,15.0,,attach transport cabin base,1.0,4.0,2.0,0.0,2.8,5.0,0.0,WE (100%),4.2,,,,,0.0,
Assembly101 c09c_9013_113951_C10115 16 detach transport cabin base,Assembly101,c09c_9013_113951_C10115,16.0,,detach transport cabin base,1.0,4.4,2.0,0.0,2.8,5.0,0.0,C (100%),4.2,,,,,0.0,
Assembly101 c09c_9013_113951_C10115 17 detach door transport cabin,Assembly101,c09c_9013_113951_C10115,17.0,,detach door transport cabin,0.0,4.4,2.0,0.0,2.8,5.0,0.0,I (100%),3.4,,,,,0.0,
Assembly101 c09c_9013_113951_C10115 19 detach rear roof transport cabin,Assembly101,c09c_9013_113951_C10115,19.0,,detach rear roof transport cabin,0.0,4.4,2.0,0.0,2.8,5.0,0.0,I (100%),3.4,,,,,0.0,
Assembly101 c09c_9013_113951_C10115 22 detach transport cabin base,Assembly101,c09c_9013_113951_C10115,22.0,,detach transport cabin base,0.0,4.4,2.0,0.0,2.8,5.0,0.0,I (100%),3.4,,,,,0.0,
Assembly101 c09c_9013_113951_C10115 24 detach transport cabin base,Assembly101,c09c_9013_113951_C10115,24.0,,detach transport cabin base,0.0,4.4,2.0,0.0,2.8,5.0,0.0,I (100%),3.4,,,,,0.0,
Assembly101 c09c_9013_113951_C10115 25 detach rear roof transport cabin,Assembly101,c09c_9013_113951_C10115,25.0,,detach rear roof transport cabin,0.0,4.4,2.0,0.0,2.8,5.0,0.0,I (100%),3.4,,,,,0.0,
Assembly101 c09c_9013_113951_C10115 27 detach door transport cabin,Assembly101,c09c_9013_113951_C10115,27.0,,detach door transport cabin,0.0,4.4,2.0,0.0,2.8,5.0,0.0,I (100%),3.4,,,,,0.0,
Assembly101 c09c_9013_113951_C10115 28 detach rear roof transport cabin,Assembly101,c09c_9013_113951_C10115,28.0,,detach rear roof transport cabin,0.0,4.4,2.0,0.0,2.8,5.0,0.0,I (100%),3.4,,,,,0.0,
Assembly101 a23_9045_165228_C10115 0 a23_9045_165228_C10115,Assembly101,a23_9045_165228_C10115,0.0,a23_9014_142800_C10115,a23_9045_165228_C10115,,,,,,,,,,2.2,,,,0.0,
Assembly101 a23_9045_165228_C10115 1 detach body chassis,Assembly101,a23_9045_165228_C10115,1.0,attach engine chassis,detach body chassis,0.0,3.6,2.2,0.0,3.0,5.0,0.0,I (100%),2.6,,,,,0.0,
Assembly101 a23_9045_165228_C10115 3 detach body chassis,Assembly101,a23_9045_165228_C10115,3.0,attach rocker panel body,detach body chassis,0.0,2.6,3.0,0.0,3.0,5.0,0.0,I (100%),2.6,,,,,0.0,
Assembly101 a23_9045_165228_C10115 5 detach body chassis,Assembly101,a23_9045_165228_C10115,5.0,attach bumper body,detach body chassis,0.0,2.6,3.0,0.0,3.0,5.0,0.0,I (100%),2.8,,,,,0.0,
Assembly101 a23_9045_165228_C10115 6 attach engine cover chassis,Assembly101,a23_9045_165228_C10115,6.0,attach roof body,attach engine cover chassis,1.0,3.0,3.0,0.0,3.0,5.0,0.0,T (100%),3.4,,,,,0.0,
Assembly101 a23_9045_165228_C10115 7 detach engine cover chassis,Assembly101,a23_9045_165228_C10115,7.0,attach engine cover body,detach engine cover chassis,1.0,3.0,3.0,0.0,3.0,5.0,0.0,C (100%),3.0,,,,,0.0,
Assembly101 a23_9045_165228_C10115 8 attach body chassis,Assembly101,a23_9045_165228_C10115,8.0,,attach body chassis,1.0,3.0,3.0,0.0,3.0,5.0,0.0,WE (100%),3.0,,,,,0.0,
Assembly101 a23_9045_165228_C10115 10 detach body chassis,Assembly101,a23_9045_165228_C10115,10.0,,detach body chassis,1.0,3.0,3.0,0.0,3.0,5.0,0.0,C (100%),3.0,,,,,0.0,
Assembly101 a23_9045_165228_C10115 12 detach body chassis,Assembly101,a23_9045_165228_C10115,12.0,,detach body chassis,0.0,3.0,2.0,0.0,3.0,5.0,0.0,I (100%),2.8,,,,,0.0,
Assembly101 a23_9045_165228_C10115 13 attach engine cover chassis,Assembly101,a23_9045_165228_C10115,13.0,,attach engine cover chassis,1.0,4.0,3.0,0.0,3.0,5.0,0.0,T (100%),3.0,,,,,0.0,
Assembly101 a23_9045_165228_C10115 14 detach engine cover chassis,Assembly101,a23_9045_165228_C10115,14.0,,detach engine cover chassis,1.0,4.2,2.0,0.0,3.0,5.0,0.0,C (100%),2.8,,,,,0.0,
Assembly101 a23_9045_165228_C10115 15 attach rocker panel chassis,Assembly101,a23_9045_165228_C10115,15.0,,attach rocker panel chassis,1.0,4.0,3.0,0.0,3.0,5.0,0.0,T (100%),2.8,,,,,0.0,
Assembly101 a23_9045_165228_C10115 16 attach engine cover chassis,Assembly101,a23_9045_165228_C10115,16.0,,attach engine cover chassis,1.0,4.0,3.0,0.0,3.0,5.0,0.0,T (100%),3.0,,,,,0.0,
Assembly101 a23_9045_165228_C10115 17 detach engine cover chassis,Assembly101,a23_9045_165228_C10115,17.0,,detach engine cover chassis,1.0,4.2,2.0,0.0,3.0,5.0,0.0,C (100%),2.8,,,,,0.0,
Assembly101 a23_9045_165228_C10115 18 attach engine cover chassis,Assembly101,a23_9045_165228_C10115,18.0,,attach engine cover chassis,1.0,4.0,3.0,0.6,3.0,4.0,0.0,T (100%),3.2,,,,,0.0,
Assembly101 a23_9045_165228_C10115 19 detach engine cover chassis,Assembly101,a23_9045_165228_C10115,19.0,,detach engine cover chassis,1.0,4.2,2.0,0.0,3.0,5.0,0.0,C (100%),3.2,,,,,0.0,
Assembly101 a23_9045_165228_C10115 20 attach body chassis,Assembly101,a23_9045_165228_C10115,20.0,,attach body chassis,1.0,4.0,3.0,0.6,3.0,4.0,0.0,I (100%),3.4,,,,,0.0,
Assembly101 a23_9045_165228_C10115 21 detach body chassis,Assembly101,a23_9045_165228_C10115,21.0,,detach body chassis,1.0,4.2,2.0,0.0,3.0,5.0,0.0,C (100%),3.2,,,,,0.0,
Assembly101 a23_9045_165228_C10115 22 attach body chassis,Assembly101,a23_9045_165228_C10115,22.0,,attach body chassis,1.0,4.0,3.0,0.6,3.0,4.0,0.0,I (100%),3.4,,,,,0.0,
Assembly101 a23_9045_165228_C10115 23 detach body chassis,Assembly101,a23_9045_165228_C10115,23.0,,detach body chassis,1.0,4.2,2.0,0.0,3.0,5.0,0.0,C (100%),3.2,,,,,0.0,
Assembly101 a23_9045_165228_C10115 24 detach rocker panel chassis,Assembly101,a23_9045_165228_C10115,24.0,,detach rocker panel chassis,1.0,4.2,2.0,0.0,3.0,5.0,0.0,C (100%),3.2,,,,,0.0,
Assembly101 a23_9045_165228_C10115 32 detach rocker panel chassis,Assembly101,a23_9045_165228_C10115,32.0,,detach rocker panel chassis,0.0,3.2,2.0,0.0,3.0,5.0,0.0,I (100%),3.6,,,,,0.0,
Assembly101 a23_9045_165228_C10115 33 detach wheel chassis,Assembly101,a23_9045_165228_C10115,33.0,,detach wheel chassis,0.0,3.2,2.0,0.0,3.0,5.0,0.0,I (100%),3.6,,,,,0.0,
Assembly101 a23_9045_165228_C10115 34 detach bumper body,Assembly101,a23_9045_165228_C10115,34.0,,detach bumper body,0.0,3.2,2.0,0.0,3.0,5.0,0.0,I (100%),3.6,,,,,0.0,
Assembly101 a23_9045_165228_C10115 35 detach engine cover body,Assembly101,a23_9045_165228_C10115,35.0,,detach engine cover body,0.0,3.2,2.0,0.0,3.0,5.0,0.0,I (100%),3.6,,,,,0.0,
Assembly101 c01b_9043_140432_C10115 0 c01b_9043_140432_C10115,Assembly101,c01b_9043_140432_C10115,0.0,c01b_9014_150612_C10115,c01b_9043_140432_C10115,,,,,,,,,,1.8,,,,0.0,
Assembly101 c01b_9043_140432_C10115 1 attach base chassis,Assembly101,c01b_9043_140432_C10115,1.0,attach interior chassis,attach base chassis,1.0,3.6,1.8,0.0,2.6,5.0,0.0,T (100%),3.2,,,,,0.0,
Assembly101 c01b_9043_140432_C10115 2 detach base chassis,Assembly101,c01b_9043_140432_C10115,2.0,attach cabin interior,detach base chassis,1.0,4.4,1.8,0.0,2.6,5.0,0.0,C (100%),3.2,,,,,0.0,
Assembly101 c01b_9043_140432_C10115 3 detach interior chassis,Assembly101,c01b_9043_140432_C10115,3.0,attach base chassis,detach interior chassis,0.0,4.4,1.8,0.4,2.2,4.4,0.0,I (100%),4.2,,,,,0.0,
Assembly101 c01b_9043_140432_C10115 4 attach base chassis,Assembly101,c01b_9043_140432_C10115,4.0,attach dump bed base,attach base chassis,1.0,4.0,2.8,0.2,2.4,4.8,0.0,T (100%),4.2,,,,,0.0,
Assembly101 c01b_9043_140432_C10115 5 attach interior chassis,Assembly101,c01b_9043_140432_C10115,5.0,attach roof cabin,attach interior chassis,1.0,4.0,2.8,0.2,2.4,4.8,0.0,I (100%),4.2,,,,,0.0,
Assembly101 c01b_9043_140432_C10115 7 detach interior chassis,Assembly101,c01b_9043_140432_C10115,7.0,,detach interior chassis,1.0,3.6,2.0,1.0,2.6,3.0,1.0,C (100%),2.8,,,,,0.0,
Assembly101 c01b_9043_140432_C10115 8 detach base chassis,Assembly101,c01b_9043_140432_C10115,8.0,,detach base chassis,1.0,4.2,2.4,0.2,2.2,4.6,0.0,C (100%),4.6,,,,,0.0,
Assembly101 c13e_9045_134158_C10115 0 c13e_9045_134158_C10115,Assembly101,c13e_9045_134158_C10115,0.0,c13e_9014_151834_C10115,c13e_9045_134158_C10115,,,,,,,,,,5.0,,,,0.0,
Assembly101 c13e_9045_134158_C10115 0 attach cabin chassis,Assembly101,c13e_9045_134158_C10115,0.0,attach step chassis,attach cabin chassis,1.0,4.8,2.2,0.0,3.0,5.0,0.0,"T (80%), I (20%)",4.6,,,,,0.0,
Assembly101 c13e_9045_134158_C10115 1 attach base chassis,Assembly101,c13e_9045_134158_C10115,1.0,attach cabin chassis,attach base chassis,1.0,4.8,2.2,0.0,3.0,5.0,0.0,"T (80%), I (20%)",4.6,,,,,0.0,
Assembly101 c13e_9045_134158_C10115 2 detach base chassis,Assembly101,c13e_9045_134158_C10115,2.0,attach base chassis,detach base chassis,1.0,4.8,1.0,0.0,3.0,5.0,0.0,C (100%),4.6,,,,,0.0,
Assembly101 c13e_9045_134158_C10115 3 detach cabin chassis,Assembly101,c13e_9045_134158_C10115,3.0,attach dump bed base,detach cabin chassis,1.0,4.8,1.0,0.0,3.0,5.0,0.0,C (100%),4.6,,,,,0.0,
Assembly101 a08_9044_154403_C10115 0 a08_9044_154403_C10115,Assembly101,a08_9044_154403_C10115,0.0,a08_9015_155549_C10115,a08_9044_154403_C10115,,,,,,,,,,5.0,,,,0.0,
Assembly101 a08_9044_154403_C10115 4 detach wheel chassis,Assembly101,a08_9044_154403_C10115,4.0,attach wheel chassis,detach wheel chassis,0.0,4.0,1.0,0.0,2.0,3.8,0.0,"I (80%), C (20%)",4.4,,,,,0.0,
Assembly101 a08_9044_154403_C10115 6 detach cabin chassis,Assembly101,a08_9044_154403_C10115,6.0,,detach cabin chassis,0.0,3.8,1.0,0.0,2.2,3.8,0.0,"I (80%), C (20%)",4.0,,,,,0.0,
Assembly101 a09_9015_160807_C10115 0 a09_9015_160807_C10115,Assembly101,a09_9015_160807_C10115,0.0,a09_9066_152039_C10115,a09_9015_160807_C10115,,,,,,,,,,5.0,,,,0.0,
Assembly101 a09_9015_160807_C10115 3 detach clamp arm,Assembly101,a09_9015_160807_C10115,3.0,attach body chassis,detach clamp arm,0.0,4.0,1.0,0.0,2.6,4.2,0.0,I (100%),4.6,,,,,0.0,
Assembly101 b05b_9015_161800_C10115 0 b05b_9015_161800_C10115,Assembly101,b05b_9015_161800_C10115,0.0,b05b_9044_163057_C10115,b05b_9015_161800_C10115,,,,,,,,,,5.0,,,,0.0,
Assembly101 b05b_9015_161800_C10115 4 attach bumper chassis,Assembly101,b05b_9015_161800_C10115,4.0,attach turntable base interior,attach bumper chassis,1.0,5.0,2.8,0.0,3.0,5.0,0.0,T (100%),5.0,,,,,0.0,
Assembly101 b05b_9015_161800_C10115 5 attach cabin chassis,Assembly101,b05b_9015_161800_C10115,5.0,attach rear bumper interior,attach cabin chassis,1.0,5.0,2.8,0.0,3.0,5.0,0.0,T (100%),5.0,,,,,0.0,
Assembly101 b05b_9015_161800_C10115 6 detach cabin chassis,Assembly101,b05b_9015_161800_C10115,6.0,attach cabin interior,detach cabin chassis,1.0,5.0,1.0,0.0,3.0,5.0,0.0,C (100%),5.0,,,,,0.0,
Assembly101 b05b_9015_161800_C10115 7 detach bumper chassis,Assembly101,b05b_9015_161800_C10115,7.0,attach bumper cabin,detach bumper chassis,1.0,5.0,1.0,0.0,3.0,5.0,0.0,C (100%),5.0,,,,,0.0,
Assembly101 a24_9016_135905_C10115 0 a24_9016_135905_C10115,Assembly101,a24_9016_135905_C10115,0.0,a24_9065_121359_C10115,a24_9016_135905_C10115,,,,,,,,,,2.0,,,,0.0,
Assembly101 a24_9016_135905_C10115 3 attach body interior,Assembly101,a24_9016_135905_C10115,3.0,attach body interior,attach body interior,1.0,5.0,4.8,1.0,2.6,3.6,0.0,T (100%),5.0,,,,,0.0,
Assembly101 a24_9016_135905_C10115 6 detach engine cover body,Assembly101,a24_9016_135905_C10115,6.0,attach rear body chassis,detach engine cover body,0.0,4.0,2.2,0.0,2.2,5.0,0.0,I (100%),4.2,,,,,0.0,
Assembly101 a24_9016_135905_C10115 7 detach bumper body,Assembly101,a24_9016_135905_C10115,7.0,attach engine cover body,detach bumper body,0.0,4.0,2.2,0.0,2.2,5.0,0.0,I (100%),4.2,,,,,0.0,
Assembly101 a24_9016_135905_C10115 8 detach body interior,Assembly101,a24_9016_135905_C10115,8.0,attach roof rear body,detach body interior,1.0,4.0,2.0,0.0,2.2,5.0,0.0,C (100%),4.2,,,,,0.0,
Assembly101 b03a_9072_111335_C10115 0 b03a_9072_111335_C10115,Assembly101,b03a_9072_111335_C10115,0.0,b03a_9016_140509_C10115,b03a_9072_111335_C10115,,,,,,,,,,4.0,,,,0.0,
Assembly101 b03a_9072_111335_C10115 2 detach cabin interior,Assembly101,b03a_9072_111335_C10115,2.0,attach bumper cabin,detach cabin interior,0.0,3.4,1.0,0.0,3.0,5.0,0.0,"I (80%), C (20%)",3.2,,,,,0.0,
Assembly101 b06a_9044_092710_C10115 0 b06a_9044_092710_C10115,Assembly101,b06a_9044_092710_C10115,0.0,b06a_9016_141229_C10115,b06a_9044_092710_C10115,,,,,,,,,,4.8,,,,0.0,
Assembly101 b06a_9044_092710_C10115 2 attach tilter interior,Assembly101,b06a_9044_092710_C10115,2.0,attach tilter interior,attach tilter interior,1.0,3.6,2.6,0.0,3.0,5.0,0.0,WE (100%),4.2,,,,,0.0,
Assembly101 b06a_9044_092710_C10115 3 detach tilter interior,Assembly101,b06a_9044_092710_C10115,3.0,attach dump bed tilter,detach tilter interior,1.0,3.6,2.4,0.0,3.0,5.0,0.0,C (100%),4.2,,,,,0.0,
Assembly101 c01d_9053_141432_C10115 0 c01d_9053_141432_C10115,Assembly101,c01d_9053_141432_C10115,0.0,c01d_9046_110733_C10115,c01d_9053_141432_C10115,,,,,,,,,,1.6,,,,0.0,
Assembly101 c01d_9053_141432_C10115 5 detach base chassis,Assembly101,c01d_9053_141432_C10115,5.0,attach base chassis,detach base chassis,0.0,3.2,1.8,0.0,3.0,5.0,0.0,I (100%),3.2,,,,,0.0,
Assembly101 c01d_9053_141432_C10115 6 detach bumper cabin,Assembly101,c01d_9053_141432_C10115,6.0,attach bumper cabin,detach bumper cabin,0.0,3.2,1.8,0.0,3.0,5.0,0.0,I (100%),3.2,,,,,0.0,
Assembly101 c01d_9053_141432_C10115 7 detach cabin interior,Assembly101,c01d_9053_141432_C10115,7.0,attach roof cabin,detach cabin interior,0.0,3.2,1.8,0.0,3.0,5.0,0.0,I (100%),3.2,,,,,0.0,
Assembly101 c01d_9053_141432_C10115 8 detach interior chassis,Assembly101,c01d_9053_141432_C10115,8.0,attach wheel chassis,detach interior chassis,0.0,3.2,1.8,0.0,3.0,5.0,0.0,I (100%),3.2,,,,,0.0,
Assembly101 c01d_9053_141432_C10115 9 attach base chassis,Assembly101,c01d_9053_141432_C10115,9.0,,attach base chassis,1.0,3.4,2.2,0.8,2.0,4.2,0.0,T (100%),3.0,,,,,0.0,
Assembly101 c01d_9053_141432_C10115 11 attach cabin interior,Assembly101,c01d_9053_141432_C10115,11.0,,attach cabin interior,1.0,3.0,2.2,0.8,2.0,4.2,0.0,I (100%),3.0,,,,,0.0,
Assembly101 c01d_9053_141432_C10115 12 detach cabin interior,Assembly101,c01d_9053_141432_C10115,12.0,,detach cabin interior,1.0,3.0,2.0,0.0,3.0,5.0,0.0,C (100%),3.0,,,,,0.0,
Assembly101 c01d_9053_141432_C10115 13 detach base chassis,Assembly101,c01d_9053_141432_C10115,13.0,,detach base chassis,1.0,3.0,2.0,0.0,3.0,5.0,0.0,C (100%),3.0,,,,,0.0,
Assembly101 c01d_9053_141432_C10115 14 attach base chassis,Assembly101,c01d_9053_141432_C10115,14.0,,attach base chassis,1.0,3.0,2.2,0.8,2.0,4.2,0.0,T (100%),3.0,,,,,0.0,
Assembly101 c01d_9053_141432_C10115 15 detach interior chassis,Assembly101,c01d_9053_141432_C10115,15.0,,detach interior chassis,0.0,3.0,2.0,0.0,3.0,5.0,0.0,I (100%),3.0,,,,,0.0,
Assembly101 c01d_9053_141432_C10115 16 detach base chassis,Assembly101,c01d_9053_141432_C10115,16.0,,detach base chassis,1.0,3.2,2.0,0.0,3.0,5.0,0.0,C (100%),3.0,,,,,0.0,
Assembly101 c01d_9053_141432_C10115 17 attach base chassis,Assembly101,c01d_9053_141432_C10115,17.0,,attach base chassis,1.0,3.2,2.2,0.8,2.0,4.2,0.0,T (100%),3.0,,,,,0.0,
Assembly101 c01d_9053_141432_C10115 19 detach interior chassis,Assembly101,c01d_9053_141432_C10115,19.0,,detach interior chassis,0.0,3.2,2.0,0.0,3.0,5.0,0.0,C (100%),3.0,,,,,0.0,
Assembly101 c01d_9053_141432_C10115 20 detach base chassis,Assembly101,c01d_9053_141432_C10115,20.0,,detach base chassis,1.0,3.2,2.0,1.0,2.0,3.0,0.0,C (100%),3.0,,,,,0.0,
Assembly101 c01d_9053_141432_C10115 24 detach base chassis,Assembly101,c01d_9053_141432_C10115,24.0,,detach base chassis,0.0,2.6,1.4,0.0,3.0,5.0,0.0,C (100%),2.8,,,,,0.0,
Assembly101 c01d_9053_141432_C10115 27 attach mixer stand base,Assembly101,c01d_9053_141432_C10115,27.0,,attach mixer stand base,1.0,2.6,1.4,0.0,3.0,5.0,0.0,WE (100%),3.0,,,,,0.0,
Assembly101 c01d_9053_141432_C10115 28 detach mixer stand base,Assembly101,c01d_9053_141432_C10115,28.0,,detach mixer stand base,1.0,2.6,1.4,0.0,3.0,5.0,0.0,C (100%),3.0,,,,,0.0,
Assembly101 c01d_9053_141432_C10115 30 detach mixer stand base,Assembly101,c01d_9053_141432_C10115,30.0,,detach mixer stand base,0.0,2.6,1.4,0.0,3.0,5.0,0.0,I (100%),3.0,,,,,0.0,
Assembly101 c01d_9053_141432_C10115 31 detach base chassis,Assembly101,c01d_9053_141432_C10115,31.0,,detach base chassis,0.0,2.6,1.4,0.0,3.0,5.0,0.0,I (100%),3.0,,,,,0.0,
Assembly101 c10b_9053_143830_C10115 0 c10b_9053_143830_C10115,Assembly101,c10b_9053_143830_C10115,0.0,c10b_9031_101552_C10115,c10b_9053_143830_C10115,,,,,,,,,,4.8,,,,0.0,
Assembly101 c10b_9053_143830_C10115 5 attach dump bed base,Assembly101,c10b_9053_143830_C10115,5.0,attach bumper cabin,attach dump bed base,1.0,3.8,2.8,0.0,3.0,5.0,0.0,"WE (80%), T (20%)",4.0,,,,,0.0,
Assembly101 c10b_9053_143830_C10115 6 detach dump bed base,Assembly101,c10b_9053_143830_C10115,6.0,attach roof cabin,detach dump bed base,1.0,3.8,2.4,0.0,3.0,5.0,0.0,C (100%),4.0,,,,,0.0,
Assembly101 c14a_9035_164650_C10115 0 c14a_9035_164650_C10115,Assembly101,c14a_9035_164650_C10115,0.0,c14a_9052_170706_C10115,c14a_9035_164650_C10115,,,,,,,,,,2.8,,,,0.0,
Assembly101 c14a_9035_164650_C10115 4 detach rear body interior,Assembly101,c14a_9035_164650_C10115,4.0,attach interior rear body,detach rear body interior,0.0,3.0,1.4,0.8,2.0,3.4,0.0,"I (80%), C (20%)",5.0,,,,,0.0,
Assembly101 c14a_9035_164650_C10115 5 detach cabin interior,Assembly101,c14a_9035_164650_C10115,5.0,attach cabin interior,detach cabin interior,0.0,2.8,1.4,0.8,2.0,3.4,0.0,"I (80%), C (20%)",5.0,,,,,0.0,
Assembly101 c14a_9035_164650_C10115 9 attach rear body chassis,Assembly101,c14a_9035_164650_C10115,9.0,attach arm boom,attach rear body chassis,1.0,3.6,2.4,0.8,2.8,4.2,0.0,"T (60%), WE (40%)",5.0,,,,,0.0,
Assembly101 c14a_9035_164650_C10115 10 attach bumper chassis,Assembly101,c14a_9035_164650_C10115,10.0,attach bucket arm,attach bumper chassis,1.0,3.6,2.4,0.8,2.8,4.2,0.0,I (100%),5.0,,,,,0.0,
Assembly101 c14a_9035_164650_C10115 11 detach bumper chassis,Assembly101,c14a_9035_164650_C10115,11.0,attach boom body,detach bumper chassis,1.0,4.0,1.8,0.0,2.8,5.0,0.0,C (100%),5.0,,,,,0.0,
Assembly101 c14a_9035_164650_C10115 12 detach rear body chassis,Assembly101,c14a_9035_164650_C10115,12.0,,detach rear body chassis,1.0,4.0,1.8,0.0,2.8,5.0,0.0,C (100%),5.0,,,,,0.0,
Assembly101 a14_9021_100733_C10115 0 a14_9021_100733_C10115,Assembly101,a14_9021_100733_C10115,0.0,a14_9021_092806_C10115,a14_9021_100733_C10115,,,,,,,,,,2.6,,,,0.0,
Assembly101 a14_9021_100733_C10115 1 attach base chassis,Assembly101,a14_9021_100733_C10115,1.0,attach cabin interior,attach base chassis,1.0,3.4,2.6,1.0,3.0,3.0,0.0,T (100%),3.8,,,,,0.0,
Assembly101 a14_9021_100733_C10115 2 attach cabin interior,Assembly101,a14_9021_100733_C10115,2.0,attach bumper cabin,attach cabin interior,1.0,3.4,2.6,1.0,3.0,4.0,0.0,I (100%),3.8,,,,,0.0,
Assembly101 a14_9021_100733_C10115 3 detach cabin interior,Assembly101,a14_9021_100733_C10115,3.0,attach base chassis,detach cabin interior,1.0,3.4,2.4,0.0,3.0,5.0,1.0,C (100%),3.8,,,,,0.0,
Assembly101 a14_9021_100733_C10115 4 attach cabin interior,Assembly101,a14_9021_100733_C10115,4.0,attach door base,attach cabin interior,1.0,3.4,2.6,1.0,3.0,4.0,1.0,I (100%),3.8,,,,,0.0,
Assembly101 a14_9021_100733_C10115 5 detach cabin interior,Assembly101,a14_9021_100733_C10115,5.0,attach door transport cabin,detach cabin interior,1.0,3.6,2.2,0.0,3.0,5.0,0.0,C (100%),4.0,,,,,0.0,
Assembly101 a14_9021_100733_C10115 6 detach base chassis,Assembly101,a14_9021_100733_C10115,6.0,attach rear roof transport cabin,detach base chassis,1.0,3.6,2.2,0.0,3.0,5.0,1.0,C (100%),4.0,,,,,0.0,
Assembly101 a14_9021_100733_C10115 8 detach cabin interior,Assembly101,a14_9021_100733_C10115,8.0,attach wheel chassis,detach cabin interior,0.0,3.6,2.2,0.0,3.0,5.0,1.0,I (100%),3.8,,,,,0.0,
Assembly101 a14_9021_100733_C10115 9 attach base chassis,Assembly101,a14_9021_100733_C10115,9.0,,attach base chassis,1.0,3.4,2.6,1.0,3.0,4.0,0.0,T (100%),3.8,,,,,0.0,
Assembly101 a14_9021_100733_C10115 10 detach base chassis,Assembly101,a14_9021_100733_C10115,10.0,,detach base chassis,1.0,3.6,2.2,0.0,3.0,5.0,1.0,C (100%),3.8,,,,,0.0,
Assembly101 a14_9021_100733_C10115 13 detach bumper cabin,Assembly101,a14_9021_100733_C10115,13.0,,detach bumper cabin,0.0,3.6,2.4,0.0,2.0,5.0,0.0,I (100%),3.8,,,,,0.0,
Assembly101 a14_9021_100733_C10115 17 attach transport cabin base,Assembly101,a14_9021_100733_C10115,17.0,,attach transport cabin base,1.0,3.2,1.6,0.0,2.0,5.0,0.0,T (100%),4.0,,,,,0.0,
Assembly101 a14_9021_100733_C10115 18 detach transport cabin base,Assembly101,a14_9021_100733_C10115,18.0,,detach transport cabin base,1.0,3.4,1.4,0.0,2.0,5.0,0.0,C (100%),4.2,,,,,0.0,
Assembly101 a03_9023_131031_C10115 0 a03_9023_131031_C10115,Assembly101,a03_9023_131031_C10115,0.0,a03_9032_155323_C10115,a03_9023_131031_C10115,,,,,,,,,,5.0,,,,0.0,
Assembly101 a03_9023_131031_C10115 1 detach body chassis,Assembly101,a03_9023_131031_C10115,1.0,attach body chassis,detach body chassis,0.0,4.0,1.0,0.0,3.0,5.0,0.0,I (100%),4.0,,,,,0.0,
Assembly101 c04c_9024_142724_C10115 0 c04c_9024_142724_C10115,Assembly101,c04c_9024_142724_C10115,0.0,c04b_9023_144136_C10115,c04c_9024_142724_C10115,,,,,,,,,,4.4,,,,0.0,
Assembly101 c04c_9024_142724_C10115 1 attach cabin chassis,Assembly101,c04c_9024_142724_C10115,1.0,attach bumper cabin,attach cabin chassis,1.0,4.0,2.0,0.0,2.8,5.0,0.0,"T (60%), I (40%)",4.6,,,,,0.0,
Assembly101 c04c_9024_142724_C10115 2 detach cabin chassis,Assembly101,c04c_9024_142724_C10115,2.0,attach cabin interior,detach cabin chassis,1.0,4.0,2.0,0.0,2.8,5.0,0.0,C (100%),4.6,,,,,0.0,
Assembly101 c04c_9024_142724_C10115 6 attach push frame cabin,Assembly101,c04c_9024_142724_C10115,6.0,attach jackhammer arm,attach push frame cabin,1.0,4.0,2.2,0.0,2.8,5.0,0.0,"T (60%), I (40%)",4.4,,,,,0.0,
Assembly101 c04c_9024_142724_C10115 8 detach push frame cabin,Assembly101,c04c_9024_142724_C10115,8.0,,detach push frame cabin,1.0,4.0,1.8,0.0,2.8,5.0,0.0,C (100%),4.4,,,,,0.0,
Assembly101 c04c_9024_142724_C10115 9 attach push frame cabin,Assembly101,c04c_9024_142724_C10115,9.0,,attach push frame cabin,1.0,3.2,2.2,0.8,2.2,3.8,0.0,"T (60%), I (40%)",4.0,,,,,0.0,
Assembly101 c04c_9024_142724_C10115 10 attach arm connector push frame,Assembly101,c04c_9024_142724_C10115,10.0,,attach arm connector push frame,1.0,3.2,2.2,0.8,2.2,3.8,0.0,"I (60%), T (40%)",4.4,,,,,0.0,
Assembly101 c04c_9024_142724_C10115 11 detach push frame cabin,Assembly101,c04c_9024_142724_C10115,11.0,,detach push frame cabin,1.0,4.0,1.4,0.0,2.6,5.0,0.0,C (100%),4.0,,,,,0.0,
Assembly101 c04c_9024_142724_C10115 12 detach push frame arm connector,Assembly101,c04c_9024_142724_C10115,12.0,,detach push frame arm connector,1.0,4.0,1.4,0.0,2.6,5.0,0.0,C (100%),4.2,,,,,0.0,
Assembly101 c04c_9024_142724_C10115 13 attach arm connector cabin,Assembly101,c04c_9024_142724_C10115,13.0,,attach arm connector cabin,1.0,3.8,3.0,0.0,2.6,5.0,0.0,T (100%),4.0,,,,,0.0,
